P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data     6/09/2019  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Zr,Sb,Ba,La,Ce,Pr,Nd,Sm,Yb,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Dt
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000055.spe,126.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,427266,1.5,148,397,55,279,6847,650,3603,3235,3890,168,247,1671,104040,1457,618,1125,0,329,1204,1321,21203,3338,2952,2301,0,77,0,0,0,0,47,0,0,248,346,939,287813,53568,0.546
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000056.spe,127.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,424471,1.39,204,362,112,269,5537,750,3226,3457,3704,247,163,1347,96546,1606,552,1140,585,559,805,1111,21890,3371,2897,2661,0,0,0,52,15,0,59,0,0,621,559,1056,288663,53650,0.546
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000057.spe,128.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,431473,1.49,242,433,136,315,6573,674,3577,3280,3605,355,203,1278,93402,1422,508,982,0,295,734,933,21713,3016,2886,2274,0,50,0,22,0,0,74,0,0,350,441,879,290696,53214,0.55
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000058.spe,129.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,431293,1.41,196,393,80,317,5721,739,3721,3072,4057,295,265,1127,99401,1476,463,1090,99,618,737,1345,20814,3023,3045,2509,24,50,0,0,16,0,34,0,0,546,894,1001,292777,52874,0.549
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000059.spe,130.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,430545,1.57,213,370,147,274,5940,687,4131,3125,4459,263,259,992,100637,1508,465,1269,144,430,827,1156,20795,2422,2884,1947,56,23,0,31,18,0,62,0,0,629,769,1042,292284,52533,0.548
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000060.spe,131.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,412062,1.43,91,285,74,277,5612,631,2897,2837,3145,227,292,763,74966,1553,539,1664,0,669,814,1264,19935,2267,2750,1871,35,40,19,17,20,0,25,0,18,102,748,930,293557,52552,0.541
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000061.spe,132.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,411381,1.45,136,331,107,273,5910,698,2912,2809,3173,263,189,653,81832,1505,614,1441,150,413,860,1331,20923,2966,2956,2301,0,16,0,0,0,0,51,0,0,266,798,831,287616,52491,0.539
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000062.spe,133.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,414820,1.49,148,320,45,260,6412,713,3122,3210,3300,329,208,701,92511,1446,546,681,84,508,615,1142,21038,3160,2837,2210,30,161,0,0,0,0,62,0,61,293,481,894,286856,53292,0.54
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000063.spe,134.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,435587,1.7,80,339,120,246,5330,722,3310,3023,3935,379,244,2277,146252,1231,479,465,0,317,705,1027,21067,3169,3004,2235,38,0,0,24,16,0,117,0,0,402,539,937,281738,52700,0.547
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000064.spe,135.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,464776,2.09,155,383,73,261,6082,742,3433,3410,3807,317,167,3185,197173,1331,395,485,138,308,992,1173,20312,3174,2920,2111,71,47,0,37,26,0,139,0,0,476,303,982,275777,50760,0.559
